,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
45,chronos_bolt_mini,bitbrains_fast_storage/5T/medium,Web/CloudOps,2,480,5T,43.141423153877255,7920.0,2500,3.595118596156438e-05,4.5392911567631795e-09,Chr.B.M,"bitbrains_fast_storage, 5T, medium",bitbrains_fast_storage,medium
46,chronos_bolt_mini,bitbrains_fast_storage/5T/short,Web/CloudOps,2,48,5T,55.380746078491214,8184.0,22500,5.127846859119557e-05,6.265697530693495e-09,Chr.B.M,"bitbrains_fast_storage, 5T, short",bitbrains_fast_storage,short
47,chronos_bolt_mini,bitbrains_fast_storage/H/short,Web/CloudOps,2,48,H,3.794845533370972,649.0,2500,3.162371277809143e-05,4.872683016655074e-08,Chr.B.M,"bitbrains_fast_storage, H, short",bitbrains_fast_storage,short
48,chronos_bolt_mini,bitbrains_rnd/5T/long,Web/CloudOps,2,720,5T,25.21269989013672,7560.0,1000,3.5017638736301e-05,4.63196279580701e-09,Chr.B.M,"bitbrains_rnd, 5T, long",bitbrains_rnd,long
49,chronos_bolt_mini,bitbrains_rnd/5T/medium,Web/CloudOps,2,480,5T,17.137803196907043,7920.0,1000,3.570375666022301e-05,4.508050083361491e-09,Chr.B.M,"bitbrains_rnd, 5T, medium",bitbrains_rnd,medium
50,chronos_bolt_mini,bitbrains_rnd/5T/short,Web/CloudOps,2,48,5T,22.303287816047668,8184.0,9000,5.1627981055665896e-05,6.308404332314993e-09,Chr.B.M,"bitbrains_rnd, 5T, short",bitbrains_rnd,short
51,chronos_bolt_mini,bitbrains_rnd/H/short,Web/CloudOps,2,48,H,1.5234035015106202,648.0,1000,3.173757294813792e-05,4.8977736031077035e-08,Chr.B.M,"bitbrains_rnd, H, short",bitbrains_rnd,short
52,chronos_bolt_mini,bizitobs_application/10S/long,Web/CloudOps,2,900,10S,0.2889365434646606,7934.0,1,0.00032104060384962284,4.046390267829882e-08,Chr.B.M,"bizitobs_application, 10S, long",bizitobs_application,long
53,chronos_bolt_mini,bizitobs_application/10S/medium,Web/CloudOps,2,600,10S,0.21470630168914795,7934.0,2,0.00017892191807428995,2.2551287884331984e-08,Chr.B.M,"bizitobs_application, 10S, medium",bizitobs_application,medium
54,chronos_bolt_mini,bizitobs_application/10S/short,Web/CloudOps,2,60,10S,0.07953138351440424,8354.0,15,8.83682039048936e-05,1.0577951149735887e-08,Chr.B.M,"bizitobs_application, 10S, short",bizitobs_application,short
55,chronos_bolt_mini,bizitobs_l2c/5T/long,Web/CloudOps,7,720,5T,0.4680739164352417,29808.0,5,0.0001300205323431227,4.361934123158974e-09,Chr.B.M,"bizitobs_l2c, 5T, long",bizitobs_l2c,long
56,chronos_bolt_mini,bizitobs_l2c/5T/medium,Web/CloudOps,7,480,5T,0.4223314762115479,30048.0,7,0.00012569389172962733,4.183103425506768e-09,Chr.B.M,"bizitobs_l2c, 5T, medium",bizitobs_l2c,medium
57,chronos_bolt_mini,bizitobs_l2c/5T/short,Web/CloudOps,7,48,5T,0.19580453634262082,31464.0,20,0.00020396305869023002,6.482426223310133e-09,Chr.B.M,"bizitobs_l2c, 5T, short",bizitobs_l2c,short
58,chronos_bolt_mini,bizitobs_l2c/H/long,Web/CloudOps,7,720,H,0.25670189857482906,1944.0,1,0.0003565304146872626,1.8340041907780998e-07,Chr.B.M,"bizitobs_l2c, H, long",bizitobs_l2c,long
59,chronos_bolt_mini,bizitobs_l2c/H/medium,Web/CloudOps,7,480,H,0.17407197952270503,2184.0,1,0.00036264995733896883,1.660485152650956e-07,Chr.B.M,"bizitobs_l2c, H, medium",bizitobs_l2c,medium
60,chronos_bolt_mini,bizitobs_l2c/H/short,Web/CloudOps,7,48,H,0.09037563800811763,2496.0,6,0.0003138042986392973,1.2572287605741078e-07,Chr.B.M,"bizitobs_l2c, H, short",bizitobs_l2c,short
61,chronos_bolt_mini,bizitobs_service/10S/long,Web/CloudOps,2,900,10S,0.7410508751869201,7935.0,21,3.920904101518096e-05,4.941278010734841e-09,Chr.B.M,"bizitobs_service, 10S, long",bizitobs_service,long
62,chronos_bolt_mini,bizitobs_service/10S/medium,Web/CloudOps,2,600,10S,0.9363179087638855,7935.0,42,3.715547256999546e-05,4.682479214870253e-09,Chr.B.M,"bizitobs_service, 10S, medium",bizitobs_service,medium
63,chronos_bolt_mini,bizitobs_service/10S/short,Web/CloudOps,2,60,10S,0.8003230690956116,8355.0,315,4.234513593098474e-05,5.0682388906026016e-09,Chr.B.M,"bizitobs_service, 10S, short",bizitobs_service,short
64,chronos_bolt_mini,dominick/long,Sales,1,30,W,31.880492639541625,266.4834123222749,100014,1.062534333178076e-05,3.987243798473608e-08,Chr.B.M,"dominick, W, long",dominick,long
65,chronos_bolt_mini,dominick/medium,Sales,1,20,W,31.767146611213683,276.4834123222749,100014,1.5881349916618514e-05,5.744051617138926e-08,Chr.B.M,"dominick, W, medium",dominick,medium
66,chronos_bolt_mini,dominick/short,Sales,1,2,W,32.0527836561203,294.4834123222749,100014,0.0001602414844727753,5.441443482643812e-07,Chr.B.M,"dominick, W, short",dominick,short
67,chronos_bolt_mini,ercot/long,Energy,1,720,H,0.3096089124679565,154152.0,8,5.3751547303464675e-05,3.4869185805869967e-10,Chr.B.M,"ercot, H, long",ercot,long
68,chronos_bolt_mini,ercot/medium,Energy,1,480,H,0.21801996231079096,154392.0,8,5.6776031851768476e-05,3.6773946740613813e-10,Chr.B.M,"ercot, H, medium",ercot,medium
69,chronos_bolt_mini,ercot/short,Energy,1,48,H,0.06795897483825677,154824.0,8,0.00017697649697462703,1.1430818023990274e-09,Chr.B.M,"ercot, H, short",ercot,short
70,chronos_bolt_mini,exchange_rate/long,Econ/Fin,1,120,D,0.060602164268493595,7468.0,8,6.312725444634749e-05,8.45303353593298e-09,Chr.B.M,"exchange_rate, D, long",exchange_rate,long
71,chronos_bolt_mini,exchange_rate/medium,Econ/Fin,1,80,D,0.05833635330200191,7508.0,8,9.115055203437799e-05,1.2140457116992273e-08,Chr.B.M,"exchange_rate, D, medium",exchange_rate,medium
72,chronos_bolt_mini,exchange_rate/short,Econ/Fin,1,8,D,0.12756197452545162,7580.0,8,0.0019931558519601816,2.629493208390741e-07,Chr.B.M,"exchange_rate, D, short",exchange_rate,short
73,chronos_bolt_mini,jena_weather/10T/long,Nature,21,720,10T,2.1117563962936403,49464.0,8,0.0003666243743565348,7.411943521683139e-09,Chr.B.M,"jena_weather, 10T, long",jena_weather,long
74,chronos_bolt_mini,jena_weather/10T/medium,Nature,21,480,10T,1.978593635559082,49824.0,11,0.000374733643098311,7.521147300463852e-09,Chr.B.M,"jena_weather, 10T, medium",jena_weather,medium
75,chronos_bolt_mini,jena_weather/10T/short,Nature,21,48,10T,0.6158868551254273,52200.0,20,0.0006415488074223201,1.2290207038741764e-08,Chr.B.M,"jena_weather, 10T, short",jena_weather,short
76,chronos_bolt_mini,jena_weather/D/short,Nature,21,30,D,0.05385155677795406,321.0,2,0.0008975259462992343,2.79603098535587e-06,Chr.B.M,"jena_weather, D, short",jena_weather,short
77,chronos_bolt_mini,jena_weather/H/long,Nature,21,720,H,0.5253206014633178,7704.0,2,0.00036480597323841515,4.7352800264591794e-08,Chr.B.M,"jena_weather, H, long",jena_weather,long
78,chronos_bolt_mini,jena_weather/H/medium,Nature,21,480,H,0.3588987350463867,8064.0,2,0.00037385284900665283,4.636072036292818e-08,Chr.B.M,"jena_weather, H, medium",jena_weather,medium
79,chronos_bolt_mini,jena_weather/H/short,Nature,21,48,H,0.4988718032836914,8304.0,19,0.0005470085562321177,6.587289935357872e-08,Chr.B.M,"jena_weather, H, short",jena_weather,short
80,chronos_bolt_mini,solar/10T/long,Energy,1,720,10T,14.091690349578858,49320.0,1096,1.785747459141684e-05,3.6207369406765696e-10,Chr.B.M,"solar, 10T, long",solar,long
81,chronos_bolt_mini,solar/10T/medium,Energy,1,480,10T,12.987897872924805,49680.0,1507,1.7954957245251057e-05,3.6141218287542383e-10,Chr.B.M,"solar, 10T, medium",solar,medium
82,chronos_bolt_mini,solar/10T/short,Energy,1,48,10T,4.116032505035401,52056.0,2740,3.1295867586948e-05,6.011961654170124e-10,Chr.B.M,"solar, 10T, short",solar,short
83,chronos_bolt_mini,solar/D/short,Energy,1,30,D,0.2764322519302368,320.0,274,3.362922772873927e-05,1.0509133665231022e-07,Chr.B.M,"solar, D, short",solar,short
84,chronos_bolt_mini,solar/H/long,Energy,1,720,H,3.3009472846984864,7680.0,274,1.6732295644254292e-05,2.178684328678944e-09,Chr.B.M,"solar, H, long",solar,long
85,chronos_bolt_mini,solar/H/medium,Energy,1,480,H,2.276374888420105,8040.0,274,1.730820322703851e-05,2.1527615954028002e-09,Chr.B.M,"solar, H, medium",solar,medium
86,chronos_bolt_mini,solar/H/short,Energy,1,48,H,3.0896134853363035,8280.0,2603,2.472798602042758e-05,2.9864717415975337e-09,Chr.B.M,"solar, H, short",solar,short
87,chronos_bolt_mini,solar/W/short,Energy,1,8,W,0.20314185619354244,44.0,137,0.0001853484089357139,4.212463839448044e-06,Chr.B.M,"solar, W, short",solar,short
88,chronos_bolt_small,bitbrains_fast_storage/5T/long,Web/CloudOps,2,720,5T,124.18784649372101,7560.0,2500,6.899324805206723e-05,9.126091012178206e-09,Chr.B.S,"bitbrains_fast_storage, 5T, long",bitbrains_fast_storage,long
